<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
SBERP;D;20120330;000000;77.7700000;78.9500000;77.4100000;77.8000000;27622200
SBERP;D;20120402;000000;78.5400000;78.9900000;77.4200000;77.8600000;23283000
SBERP;D;20120403;000000;78.7500000;79.4600000;78.3300000;78.9600000;26089200
SBERP;D;20120404;000000;78.3100000;78.6000000;77.2500000;77.3600000;18415200
SBERP;D;20120405;000000;77.8300000;78.8000000;76.5000000;78.2000000;23947200
SBERP;D;20120406;000000;78.5700000;78.8100000;77.2400000;77.3200000;13667200
SBERP;D;20120409;000000;77.5000000;77.7500000;76.5000000;77.2400000;17850800
SBERP;D;20120410;000000;77.3000000;78.7100000;77.2200000;77.8100000;26752700
SBERP;D;20120411;000000;77.4200000;79.1700000;77.1600000;78.5700000;24362500
SBERP;D;20120412;000000;78.7000000;79.3900000;77.3600000;78.0000000;31959400
SBERP;D;20120413;000000;76.7700000;76.8900000;74.7900000;75.4900000;28885800
SBERP;D;20120416;000000;74.9000000;75.0000000;73.4300000;73.4600000;18241900
SBERP;D;20120417;000000;73.5300000;73.6700000;72.1200000;72.1300000;20800400
SBERP;D;20120418;000000;72.7700000;73.3000000;71.0300000;71.3100000;12694000
SBERP;D;20120419;000000;71.4400000;72.8500000;71.0400000;72.7900000;14532300
SBERP;D;20120420;000000;72.3300000;74.2800000;72.1000000;74.2600000;10192700
SBERP;D;20120423;000000;73.9900000;73.9900000;72.0100000;72.2200000;12550900
SBERP;D;20120424;000000;72.4700000;72.9000000;70.4800000;71.4800000;19283400
SBERP;D;20120425;000000;71.7000000;72.1900000;70.5500000;70.9900000;13415800
SBERP;D;20120426;000000;71.1000000;71.3600000;68.9200000;69.1400000;23368100
SBERP;D;20120427;000000;68.9900000;69.4500000;68.1300000;68.4900000;25597300
SBERP;D;20120428;000000;68.5500000;69.0500000;68.2600000;68.6400000;4566900
SBERP;D;20120502;000000;69.0200000;70.3200000;68.1800000;68.1900000;19556400
SBERP;D;20120503;000000;68.5700000;70.8000000;67.1800000;69.9900000;29683200
SBERP;D;20120504;000000;69.5500000;69.8000000;66.7300000;67.5900000;23585300
SBERP;D;20120505;000000;67.6500000;67.6600000;66.7100000;67.4400000;6179100
SBERP;D;20120507;000000;67.0000000;67.7300000;64.7000000;67.5000000;12860900
SBERP;D;20120508;000000;67.8000000;68.4500000;66.6700000;67.8600000;10424300
SBERP;D;20120510;000000;67.7000000;69.3200000;67.7000000;68.9700000;16854500
SBERP;D;20120511;000000;67.9000000;68.5600000;66.8500000;68.5000000;13511900
SBERP;D;20120512;000000;68.1000000;68.6200000;67.5800000;68.4800000;2272400
SBERP;D;20120514;000000;68.4800000;68.4900000;65.0500000;65.3000000;17119500
SBERP;D;20120515;000000;65.6500000;67.3300000;64.8400000;66.5400000;17384400
SBERP;D;20120516;000000;65.6000000;65.8500000;64.5300000;65.1700000;17296000
SBERP;D;20120517;000000;65.2800000;65.5800000;59.3500000;60.0900000;38412400
SBERP;D;20120518;000000;58.2900000;61.0000000;56.0500000;59.0700000;35810100
SBERP;D;20120521;000000;59.5600000;61.6900000;59.1100000;61.6800000;18500900
SBERP;D;20120522;000000;62.1800000;62.4600000;60.7700000;61.6500000;16940300
SBERP;D;20120523;000000;60.2000000;60.9400000;57.5900000;57.9300000;24145000
SBERP;D;20120524;000000;58.6000000;59.4500000;57.0600000;59.2000000;27104100
SBERP;D;20120525;000000;58.9700000;60.0000000;58.6500000;59.1500000;13221200
SBERP;D;20120528;000000;60.0100000;60.3200000;59.1300000;59.3800000;10535200
SBERP;D;20120529;000000;59.9900000;62.2400000;59.7000000;61.9300000;20589200
SBERP;D;20120530;000000;61.4300000;61.5700000;60.0000000;60.5100000;16235800
SBERP;D;20120531;000000;60.4100000;61.7000000;60.0400000;60.9000000;25581500
SBERP;D;20120601;000000;60.6500000;61.3300000;55.1800000;56.3200000;51307800
SBERP;D;20120604;000000;55.2200000;55.6500000;53.4600000;55.2800000;38176600
SBERP;D;20120605;000000;55.8600000;56.8400000;55.0300000;55.5300000;20086800
SBERP;D;20120606;000000;56.1400000;56.4200000;55.1400000;56.3500000;22653200
SBERP;D;20120607;000000;56.7900000;58.1000000;55.7900000;57.7000000;28368500
SBERP;D;20120608;000000;56.7000000;57.0000000;56.0000000;56.6900000;13301400
SBERP;D;20120609;000000;56.9900000;57.2500000;56.6000000;56.8000000;3097100
SBERP;D;20120613;000000;56.8400000;57.6700000;56.0200000;56.7000000;19098400
SBERP;D;20120614;000000;56.5600000;58.0800000;56.2500000;57.8200000;19840200
SBERP;D;20120615;000000;58.0100000;59.5000000;58.0100000;59.5000000;19748600
SBERP;D;20120618;000000;60.7000000;61.5000000;60.3100000;61.4900000;20651500
SBERP;D;20120619;000000;61.0100000;62.4800000;60.9300000;62.3700000;17428000
SBERP;D;20120620;000000;62.2500000;62.6900000;60.1500000;60.4200000;24346200
SBERP;D;20120621;000000;59.6200000;61.2900000;59.0300000;60.3000000;21770900
SBERP;D;20120622;000000;59.3000000;60.2400000;58.5000000;59.9500000;21910100
SBERP;D;20120625;000000;59.5900000;60.3000000;58.0100000;58.4800000;18726900
SBERP;D;20120626;000000;58.6000000;59.4200000;58.2200000;58.8600000;26140600
SBERP;D;20120627;000000;59.3400000;60.2000000;58.7500000;60.0800000;17922700
SBERP;D;20120628;000000;60.1900000;60.5600000;59.0000000;59.2600000;25178600
SBERP;D;20120629;000000;60.2200000;62.6400000;60.2200000;62.5200000;28174800
SBERP;D;20120702;000000;62.3800000;64.5900000;62.1000000;63.6200000;25237900
SBERP;D;20120703;000000;64.1900000;65.5000000;63.7600000;65.1500000;24430000
SBERP;D;20120704;000000;65.0000000;65.9000000;63.8200000;65.8600000;17460800
