<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
USD000000TOD;D;20160617;000000;65.4500000;65.4925000;64.7450000;64.8100000;1214113000
USD000000TOD;D;20160620;000000;64.4500000;64.4925000;63.7425000;64.0825000;1247733000
USD000000TOD;D;20160621;000000;64.2475000;64.4600000;64.0050000;64.2500000;1039287000
USD000000TOD;D;20160622;000000;63.6000000;64.3600000;63.4800000;64.1500000;1128963000
USD000000TOD;D;20160623;000000;64.5000000;64.7425000;63.9100000;64.2175000;1387907000
USD000000TOD;D;20160624;000000;65.7450000;66.0300000;64.6500000;64.7125000;2287296000
USD000000TOD;D;20160627;000000;65.0500000;65.4350000;64.8000000;65.2800000;1461911000
USD000000TOD;D;20160628;000000;65.1375000;65.1375000;64.3725000;64.5550000;1349339000
USD000000TOD;D;20160629;000000;64.0300000;64.4700000;63.8150000;63.8175000;1533591000
USD000000TOD;D;20160630;000000;63.9800000;64.4100000;63.9225000;64.2100000;1517340000
USD000000TOD;D;20160701;000000;63.8500000;64.2000000;63.7625000;63.8225000;1358339000
USD000000TOD;D;20160705;000000;64.3000000;64.6000000;64.0925000;64.5500000;1367724000
USD000000TOD;D;20160706;000000;64.7150000;64.7900000;64.4200000;64.5525000;1588117000
USD000000TOD;D;20160707;000000;64.2475000;64.2475000;63.7000000;63.8000000;1137432000
USD000000TOD;D;20160708;000000;64.4550000;64.5800000;63.6600000;63.9250000;1667925000
USD000000TOD;D;20160711;000000;64.0775000;64.2850000;63.9475000;64.0900000;1486137000
USD000000TOD;D;20160712;000000;63.8975000;64.0400000;63.7100000;63.8675000;1200182000
USD000000TOD;D;20160713;000000;64.0500000;64.0800000;63.6350000;63.8400000;1334007000
USD000000TOD;D;20160714;000000;63.7300000;63.7775000;63.0175000;63.0600000;1730122000
USD000000TOD;D;20160715;000000;63.0500000;63.3250000;62.9100000;63.1650000;1365089000
USD000000TOD;D;20160718;000000;63.2825000;63.4225000;62.9325000;63.1275000;1016062000
USD000000TOD;D;20160719;000000;62.8250000;63.1400000;62.7850000;63.1400000;1094647000
USD000000TOD;D;20160720;000000;63.4350000;63.6800000;63.1350000;63.5950000;1637685000
USD000000TOD;D;20160721;000000;63.6500000;64.0000000;63.5575000;63.8675000;1453312000
USD000000TOD;D;20160722;000000;64.3500000;64.8000000;64.2700000;64.7625000;2026618000
USD000000TOD;D;20160725;000000;64.8000000;65.0575000;64.7550000;65.0500000;1128656000
USD000000TOD;D;20160726;000000;65.4350000;66.5375000;65.4175000;66.1450000;1671659000
USD000000TOD;D;20160727;000000;65.9500000;66.1625000;65.6900000;65.7500000;1498499000
USD000000TOD;D;20160728;000000;65.8925000;66.6850000;65.8600000;66.6125000;1674182000
USD000000TOD;D;20160729;000000;67.0675000;67.1250000;66.2950000;66.7100000;2222464000
USD000000TOD;D;20160801;000000;65.8700000;66.4675000;65.7050000;66.3150000;1245332000
USD000000TOD;D;20160802;000000;66.9375000;67.0125000;65.9950000;66.1725000;1302801000
USD000000TOD;D;20160803;000000;66.8700000;67.0050000;66.4150000;66.6400000;1135149000
USD000000TOD;D;20160804;000000;66.4050000;66.5500000;66.0850000;66.2275000;978409000
USD000000TOD;D;20160805;000000;65.7800000;65.8250000;64.9425000;65.1500000;1436661000
USD000000TOD;D;20160808;000000;65.4000000;65.4500000;64.5800000;64.5900000;1133534000
USD000000TOD;D;20160809;000000;64.8675000;65.1125000;64.5000000;64.6400000;1137989000
USD000000TOD;D;20160810;000000;64.8700000;64.9500000;64.2000000;64.3800000;1017529000
USD000000TOD;D;20160811;000000;65.0650000;65.1000000;64.4700000;64.5425000;1263342000
USD000000TOD;D;20160812;000000;64.2725000;64.8000000;64.0350000;64.7800000;1399840000
USD000000TOD;D;20160815;000000;64.5700000;64.5700000;64.0125000;64.1550000;1151452000
USD000000TOD;D;20160816;000000;64.0325000;64.1800000;63.5275000;63.9700000;1170510000
USD000000TOD;D;20160817;000000;63.9425000;64.2225000;63.8125000;64.1500000;982719000
